447205,175,68
261,187,80
7853,181,70
8096,191,92
8285,181,76
8314,185,79
8346,168,71
8360,189,85
8370,187,85
8374,180,75
8686,183,83
8958,185,80
9414,185,75
12536,177,73
25865,184,90
61979,194,94
119951,193,83
283145,196,80
346071,188,74
399517,183,75
434159,185,73
447254,188,64
448708,174,66
454,175,67
7958,191,77
8142,173,71
8186,195,78
8221,188,83
-1,1000,1000
8391,186,87
8421,168,60
8422,180,66
8425,198,90
8471,181,77
8501,178,72
8554,192,74
8623,178,64
25430,187,83
25571,182,81
25703,178,68
37725,193,78
38031,190,83
55224,194,90
127537,186,80
240559,182,79
297258,178,70
486252,183,72
3928,190,91
7914,188,77
8013,175,74
8480,185,76
8488,186,101
8498,184,79
8653,188,79
12829,178,76
14763,174,70
14853,187,89
21333,185,79
28117,182,70
70381,175,70
70403,175,69
93084,191,85
136509,191,88
149019,176,80
-1,1000,1000
192748,181,86
217078,186,79
265366,187,80
277002,175,60
283142,180,74
285508,187,77
350976,178,77
3582,190,80
7847,190,83
7873,172,68
7941,175,73
7970,193,79
8313,174,74
8553,190,87
8561,180,70
8582,170,66
8677,180,82
14703,192,83
20620,185,75
21100,191,86
26499,179,70
26518,182,80
41174,167,59
379205,181,73
379209,185,80
107,182,86
134,185,80
340,185,77
3343,180,76
7932,184,74
7961,185,82
8094,196,95
8530,180,70
8731,191,76
8747,201,84
9419,178,66
9532,180,83
10252,178,75
15054,185,79
49971,181,73
56429,199,87
77546,182,91
77548,168,62
134351,183,78
207164,180,76
367326,198,80
399514,183,75
399564,185,75
415748,178,74
424624,176,70
447812,175,76
160,185,80
3348,177,73
3351,174,61
7888,185,80
7929,175,67
8266,191,91
8272,191,87
8358,193,90
8889,178,81
8903,183,90
-1,1000,1000
8981,185,74
9403,188,73
10663,180,78
14688,196,97
20505,186,90
20593,182,77
21160,188,85
25798,190,87
28292,183,75
68085,187,84
92899,185,81
189821,186,81
399653,173,65
93,186,77
7912,193,79
8125,185,69
8284,165,63
8301,194,83
8433,184,82
8516,180,74
8643,180,78
8925,170,67
8944,180,74
8963,183,78
8980,185,79
9123,186,76
9127,188,90
9164,185,72
9206,191,95
9433,191,81
9623,175,71
10108,187,82
12242,192,76
70092,175,72
77502,188,86
120,185,78
466,185,72
3278,181,75
8086,185,71
8242,193,76
8416,185,84
9097,192,88
15526,181,78
16443,190,81
20855,187,79
25950,172,69
26495,187,74
61390,184,82
61961,178,74
64966,179,73
79381,180,78
91381,171,75
247248,180,72
7989,183,79
8296,171,65
8351,178,73
8460,180,78
8726,199,101
8959,183,76
9277,185,82
9279,191,90
9285,178,75
9293,180,72
9637,180,74
9739,176,81
11669,180,66
20921,193,87
62224,163,62
134102,180,75
239411,196,77
245813,184,80
255738,179,70
302518,175,71
415747,178,83
433506,188,77
132,188,70
173,181,72
8066,193,78
-1,1000,1000
8290,171,62
8897,177,73
11078,186,84
14796,173,63
15215,189,82
15823,182,76
16122,178,74
16436,191,79
38377,191,90
55979,191,79
56038,195,88
62389,174,68
214654,190,83
234139,190,78
282550,182,73
303357,197,83
332605,183,72
442211,183,80
128,193,88
179,175,75
262,188,79
284,190,81
471,182,90
3599,169,64
8192,178,81
8336,180,73
8976,178,66
62344,178,68
77552,167,62
77557,170,77
149151,190,85
288865,188,74
357712,183,92
386197,175,71
412919,190,76
