game_id,season,home_goals,away_goals
2002020877,2002,5,1
2002020878,2002,4,5
2002020879,2002,3,2
2002020880,2002,2,2
2002020881,2002,2,2
2002020882,2002,4,3
2002020883,2002,0,3
2002020884,2002,4,3
2002020885,2002,3,4
2002020886,2002,5,2
2002020887,2002,2,1
2002020888,2002,1,1
2002020889,2002,2,0
2002020890,2002,3,5
2002020891,2002,2,4
2002020892,2002,1,1
2002020893,2002,2,0
2002020894,2002,0,3
2002020895,2002,3,4
2002020896,2002,2,6
2002020897,2002,6,2
2002020898,2002,5,0
2002020899,2002,2,5
2002020900,2002,2,4
2002020901,2002,4,1
2002020902,2002,1,2
2002020903,2002,1,4
2002020904,2002,4,1
2002020905,2002,2,2
2002020906,2002,3,2
2002020907,2002,2,2
2002020908,2002,2,6
2002020909,2002,6,0
2002020910,2002,2,1
2002020911,2002,3,5
2002020912,2002,4,0
2002020913,2002,2,4
2002020914,2002,1,5
2002020915,2002,2,3
2002020916,2002,4,4
2002020917,2002,0,4
2002020918,2002,3,1
2002020919,2002,3,4
2002020920,2002,4,1
2002020921,2002,1,4
2002020922,2002,2,4
2002020923,2002,2,5
2002020924,2002,0,3
2002020925,2002,3,3
2002020926,2002,7,2
2002020927,2002,4,1
2002020928,2002,2,2
2002020929,2002,5,4
2002020930,2002,5,2
2002020931,2002,5,5
2002020932,2002,0,3
2002020933,2002,2,0
2002020934,2002,5,2
2002020935,2002,3,3
2002020936,2002,3,5
2002020937,2002,5,0
2002020938,2002,0,2
2002020939,2002,4,2
2002020940,2002,8,0
2002020941,2002,3,2
2002020942,2002,1,2
2002020943,2002,4,2
2002020944,2002,3,2
2002020945,2002,3,3
2002020946,2002,3,1
2002020947,2002,3,1
2002020948,2002,3,6
2002020949,2002,7,2
2002020950,2002,4,1
2002020951,2002,5,2
2002020952,2002,4,1
2002020953,2002,6,0
2002020954,2002,3,4
2002020955,2002,2,3
2002020956,2002,5,3
2002020957,2002,3,1
2002020958,2002,2,3
2002020959,2002,5,4
2002020960,2002,4,1
2002020961,2002,4,1
2002020962,2002,4,1
2002020963,2002,1,1
2002020964,2002,1,2
2002020965,2002,2,1
2002020966,2002,5,2
2002020967,2002,3,3
2002020968,2002,2,1
2002020969,2002,2,0
2002020970,2002,4,3
2002020971,2002,3,1
2002020972,2002,5,2
2002020973,2002,2,0
2002020974,2002,2,3
2002020975,2002,1,4
2002020976,2002,4,6
2002020977,2002,2,3
2002020978,2002,1,2
2002020979,2002,1,1
2002020980,2002,1,2
2002020981,2002,4,1
2002020982,2002,1,3
2002020983,2002,3,0
2002020984,2002,2,4
2002020985,2002,1,4
2002020986,2002,2,1
2002020987,2002,3,2
2002020988,2002,2,1
2002020989,2002,1,2
2002020990,2002,1,3
2002020991,2002,3,2
2002020992,2002,5,4
2002020993,2002,7,4
2002020994,2002,3,1
2002020995,2002,4,2
2002020996,2002,4,4
2002020997,2002,5,4
2002020998,2002,0,4
2002020999,2002,4,1
2002021000,2002,6,3
2002021001,2002,2,2
2002021002,2002,1,2
2002021003,2002,4,3
2002021004,2002,5,1
2002021005,2002,1,0
2002021006,2002,1,2
2002021007,2002,4,3
2002021008,2002,7,2
2002021009,2002,0,2
2002021010,2002,1,2
2002021011,2002,1,4
2002021012,2002,5,4
2002021013,2002,3,3
2002021014,2002,2,4
2002021015,2002,1,2
2002021016,2002,2,3
2002021017,2002,1,5
2002021018,2002,0,4
2002021019,2002,6,4
2002021020,2002,2,1
2002021021,2002,4,6
2002021022,2002,8,5
2002021023,2002,1,1
2002021024,2002,4,1
2002021025,2002,4,2
2002021026,2002,3,0
2002021027,2002,1,2
2002021028,2002,2,1
2002021029,2002,6,5
2002021030,2002,1,3
2002021031,2002,2,2
2002021032,2002,2,3
2002021033,2002,2,3
2002021034,2002,4,3
2002021035,2002,0,2
2002021036,2002,2,3
2002021037,2002,2,5
2002021038,2002,4,3
2002021039,2002,2,4
2002021040,2002,2,3
2002021041,2002,4,2
2002021042,2002,2,2
2002021043,2002,0,4
2002021044,2002,4,2
2002021045,2002,2,3
2002021046,2002,5,2
2002021047,2002,4,3
2002021048,2002,3,2
2002021049,2002,5,3
2002021050,2002,1,5
2002021051,2002,2,4
2002021052,2002,4,3
2002021053,2002,2,5
2002021054,2002,4,4
2002021055,2002,2,4
2002021056,2002,1,3
2002021057,2002,3,1
2002021058,2002,0,4
2002021059,2002,4,1
2002021060,2002,3,1
2002021061,2002,1,4
2002021062,2002,5,3
2002021063,2002,1,2
2002021064,2002,2,5
2002021065,2002,0,0
2002021066,2002,5,3
2002021067,2002,5,0
2002021068,2002,0,1
2002021069,2002,0,1
2002021070,2002,4,2
2002021071,2002,4,3
2002021072,2002,3,2
2002021073,2002,2,4
